Hazard Name,Hazard Description,Likelihood,Severity
Design deviation,Hazard involving: design deviation.,1,1
Fall from height,Hazard involving: fall from height.,5,3
Proof testing hazard,Hazard involving: proof testing hazard.,1,3
PPE inadequacy,Hazard involving: ppe inadequacy.,3,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,3
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,2,3
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,1,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,1
Electrical source hazard,Hazard involving: electrical source hazard.,4,2
Explosion potential,Hazard involving: explosion potential.,2,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,5
Pressure system failure,Hazard involving: pressure system failure.,3,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,3
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,1,5
System redundancy failure,Hazard involving: system redundancy failure.,3,5
Crash safety hazard,Hazard involving: crash safety hazard.,2,3
Power supply failure,Hazard involving: power supply failure.,2,1
Flying object impact,Hazard involving: flying object impact.,3,1
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,5
Incident recording failure,Hazard involving: incident recording failure.,4,5
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,5,5
Explosive substances,Hazard involving: explosive substances.,3,4
Warning alarm failure,Hazard involving: warning alarm failure.,5,4
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,3
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,2,3
Security breach,Hazard involving: security breach.,4,4
Noise hazard,Hazard involving: noise hazard.,1,1
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,5
Explosive substances,Hazard involving: explosive substances.,2,5
User error,Hazard involving: user error.,3,3
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,5,4
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,5
Support equipment hazard,Hazard involving: support equipment hazard.,1,4
Hostile act,Hazard involving: hostile act.,4,2
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,1
Support equipment hazard,Hazard involving: support equipment hazard.,1,5
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,1,5
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,1
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,4,5
Hostile act,Hazard involving: hostile act.,3,1
Virus infection,Hazard involving: virus infection.,5,2
Fire suppression system failure,Hazard involving: fire suppression system failure.,3,5
Fail-safe design failure,Hazard involving: fail-safe design failure.,5,5
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,2,4
Material incompatibilities,Hazard involving: material incompatibilities.,1,1
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,2,2
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,2,5
Noise hazard,Hazard involving: noise hazard.,1,2
Damage containment failure,Hazard involving: damage containment failure.,2,4
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,3,2
Proof testing hazard,Hazard involving: proof testing hazard.,3,5
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",3,4
Fire suppression system failure,Hazard involving: fire suppression system failure.,3,5
Failure of passive protective system,Hazard involving: failure of passive protective system.,5,2
Pressure system failure,Hazard involving: pressure system failure.,3,4
Warning alarm failure,Hazard involving: warning alarm failure.,5,5
Collision with object on track,Hazard involving: collision with object on track.,3,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,5,3
Component substitution error,Hazard involving: component substitution error.,1,4
Fall from height,Hazard involving: fall from height.,3,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,3
